"isin","coupon_serie_code","in_catalog"
"TRD270127T13","TP.TRD270127T13.ORAN","False"
"TRT150726K62","TP.TRT150726K62.ORAN","False"
"TRT080131K11","TP.TRT080131K11.ORAN","False"
"TRT070727K38","TP.TRT070727K38.ORAN","False"
"TRT020130K18","TP.TRT020130K18.ORAN","False"
"TRT120128K44","TP.TRT120128K44.ORAN","False"
"TRT090130K37","TP.TRT090130K37.ORAN","True"
"TRT140727K54","TP.TRT140727K54.ORAN","False"
"TRT100129K37","TP.TRT100129K37.ORAN","False"
"TRT090130T12","TP.TRT090130T12.ORAN","False"
"TRT080726K46","TP.TRT080726K46.ORAN","False"
"TRD060127K17","TP.TRD060127K17.ORAN","True"
"TRT060127K35","TP.TRT060127K35.ORAN","False"
"TRD151227A15","TP.TRD151227A15.ORAN","False"
"TRT150726K70","TP.TRT150726K70.ORAN","False"
"TRD080726K10","TP.TRD080726K10.ORAN","False"
"TRD171127T13","TP.TRD171127T13.ORAN","True"
"TRT210826F11","TP.TRT210826F11.ORAN","False"
"TRD191127F17","TP.TRD191127F17.ORAN","False"
"TRT191127F19","TP.TRT191127F19.ORAN","False"
"TRD200526K16","TP.TRD200526K16.ORAN","False"
"TRT190826K75","TP.TRT190826K75.ORAN","False"
"TRT150328K64","TP.TRT150328K64.ORAN","False"
"TRT180827K67","TP.TRT180827K67.ORAN","False"
"TRT180326K89","TP.TRT180326K89.ORAN","False"
"TRT170327K89","TP.TRT170327K89.ORAN","False"
"TRD161226K47","TP.TRD161226K47.ORAN","False"
"TRT090130A13","TP.TRT090130A13.ORAN","True"
"TRT060127T10","TP.TRT060127T10.ORAN","False"
"TRT140727K62","TP.TRT140727K62.ORAN","False"
"TRD151227K21","TP.TRD151227K21.ORAN","False"
"TRD171127A14","TP.TRD171127A14.ORAN","False"
"TRD171127K12","TP.TRD171127K12.ORAN","False"
"TRD190527K18","TP.TRD190527K18.ORAN","False"
"TRD110827A15","TP.TRD110827A15.ORAN","False"
"TRT110729K22","TP.TRT110729K22.ORAN","False"
"TRD070427K39","TP.TRD070427K39.ORAN","False"
"TRD071026K32","TP.TRD071026K32.ORAN","False"
"TRD110827T22","TP.TRD110827T22.ORAN","False"
"TRD050128A19","TP.TRD050128A19.ORAN","False"
"TRD080927T34","TP.TRD080927T34.ORAN","False"
"TRD151227T14","TP.TRD151227T14.ORAN","False"
"TRT020130T19","TP.TRT020130T19.ORAN","False"
"TRD070727K10","TP.TRD070727K10.ORAN","False"
"TRD160627K36","TP.TRD160627K36.ORAN","False"
"TRT130127K69","TP.TRT130127K69.ORAN","True"
"TRT120728K22","TP.TRT120728K22.ORAN","False"
"TRT050128K27","TP.TRT050128K27.ORAN","False"
"TRT270127T15","TP.TRT270127T15.ORAN","False"
"TRT110729K30","TP.TRT110729K30.ORAN","False"
"TRT100129K29","TP.TRT100129K29.ORAN","False"
"TRT020130T27","TP.TRT020130T27.ORAN","False"
"TRT090130T20","TP.TRT090130T20.ORAN","False"
"TRT080131T12","TP.TRT080131T12.ORAN","True"
"TRT040729K21","TP.TRT040729K21.ORAN","False"
"TRT030129K28","TP.TRT030129K28.ORAN","True"
"TRT020130A10","TP.TRT020130A10.ORAN","True"
"TRD170626K44","TP.TRD170626K44.ORAN","False"
"TRT050728K21","TP.TRT050728K21.ORAN","True"
"TRD151227T22","TP.TRD151227T22.ORAN","False"
"TRD050128K17","TP.TRD050128K17.ORAN","True"
"TRT130127K77","TP.TRT130127K77.ORAN","False"
"TRT100730K20","TP.TRT100730K20.ORAN","True"
"TRT080131A13","TP.TRT080131A13.ORAN","False"
"TRD181126K12","TP.TRD181126K12.ORAN","False"
"TRT120728K30","TP.TRT120728K30.ORAN","False"
"TRD050128T18","TP.TRD050128T18.ORAN","False"
"TRT090130K29","TP.TRT090130K29.ORAN","False"
"TRT140830K25","TP.TRT140830K25.ORAN","True"
"TRT080131T20","TP.TRT080131T20.ORAN","False"
"TRD100227K36","TP.TRD100227K36.ORAN","False"
"TRD050128T26","TP.TRD050128T26.ORAN","False"
"TRT110832A10","TP.TRT110832A10.ORAN","False"
"TRT131027T44","TP.TRT131027T44.ORAN","False"
"TRT120929K45","TP.TRT120929K45.ORAN","True"
"TRT130928K60","TP.TRT130928K60.ORAN","False"
"TRT100332K30","TP.TRT100332K30.ORAN","False"
"TRT100931K35","TP.TRT100931K35.ORAN","True"
"TRT070933K20","TP.TRT070933K20.ORAN","True"
"TRT130330K47","TP.TRT130330K47.ORAN","True"
"TRT110930T28","TP.TRT110930T28.ORAN","False"
"TRT110930K43","TP.TRT110930K43.ORAN","False"
"TRT140427K40","TP.TRT140427K40.ORAN","True"
"TRT050935T13","TP.TRT050935T13.ORAN","True"
"TRT131027A29","TP.TRT131027A29.ORAN","False"
"TRT110232K22","TP.TRT110232K22.ORAN","True"
"TRT080426K56","TP.TRT080426K56.ORAN","False"
"TRT050935T21","TP.TRT050935T21.ORAN","True"
"TRT130928K78","TP.TRT130928K78.ORAN","False"
"TRT131027K43","TP.TRT131027K43.ORAN","False"
"TRT120929K52","TP.TRT120929K52.ORAN","False"
"TRT090333K24","TP.TRT090333K24.ORAN","True"
"TRT060934K12","TP.TRT060934K12.ORAN","True"
"TRT140229K32","TP.TRT140229K32.ORAN","False"
"TRT110930T10","TP.TRT110930T10.ORAN","True"
"TRT070335K16","TP.TRT070335K16.ORAN","True"
"TRT080334K16","TP.TRT080334K16.ORAN","False"
"TRT070427K31","TP.TRT070427K31.ORAN","False"
"TRT130831K25","TP.TRT130831K25.ORAN","True"
"TRT071026K34","TP.TRT071026K34.ORAN","True"
"TRT110832T19","TP.TRT110832T19.ORAN","False"
"TRT080932K20","TP.TRT080932K20.ORAN","True"
"TRT061027K34","TP.TRT061027K34.ORAN","True"
"TRT110930K35","TP.TRT110930K35.ORAN","False"
"TRT110832T27","TP.TRT110832T27.ORAN","False"
"TRT021030T18","TP.TRT021030T18.ORAN","False"
"TRT050428K32","TP.TRT050428K32.ORAN","False"
"TRT150927K85","TP.TRT150927K85.ORAN","True"
"TRT150927K77","TP.TRT150927K77.ORAN","False"
"TRT050935A14","TP.TRT050935A14.ORAN","True"
"TRT180226K98","TP.TRT180226K98.ORAN","False"
"TRT150829K27","TP.TRT150829K27.ORAN","True"
"TRT160926K93","TP.TRT160926K93.ORAN","False"
"TRT160926K85","TP.TRT160926K85.ORAN","False"
"TRT160228K56","TP.TRT160228K56.ORAN","False"
"TRT150328K72","TP.TRT150328K72.ORAN","False"
"TRD210826F19","TP.TRD210826F19.ORAN","False"
"TRT150426K57","TP.TRT150426K57.ORAN","False"
"TRT180326K97","TP.TRT180326K97.ORAN","False"
"TRT160828K35","TP.TRT160828K35.ORAN","False"
"TRD171127T21","TP.TRD171127T21.ORAN","False"
"TRT141026K50","TP.TRT141026K50.ORAN","False"
"TRT021030K25","TP.TRT021030K25.ORAN","False"
"TRT130230K22","TP.TRT130230K22.ORAN","False"
"TRT040429K32","TP.TRT040429K32.ORAN","False"
"TRT120231K22","TP.TRT120231K22.ORAN","True"
