"yield_series_code","isin","maturity","bucket","coupon_series_code"
"TP.TRT030626K26","TRT030626K26","2026-06-03","SHORT",""
"TP.TRT120626T18","TRT120626T18","2026-06-12","SHORT",""
"TP.TRT260626K11","TRT260626K11","2026-06-26","SHORT",""
"TP.TRT080726K20","TRT080726K20","2026-07-08","SHORT",""
"TP.TRT220726F11","TRT220726F11","2026-07-22","SHORT",""
"TP.TRD050826K12","TRD050826K12","2026-08-05","SHORT",""
"TP.TRT120826T16","TRT120826T16","2026-08-12","SHORT",""
"TP.TRT190826T27","TRT190826T27","2026-08-19","SHORT",""
"TP.TRT020926K24","TRT020926K24","2026-09-02","SHORT",""
"TP.TRD160926A10","TRD160926A10","2026-09-16","SHORT",""
"TP.TRD160926K26","TRD160926K26","2026-09-16","SHORT",""
"TP.TRT071026K34","TRT071026K34","2026-10-07","SHORT",""
"TP.TRT141026K19","TRT141026K19","2026-10-14","SHORT",""
"TP.TRT041126K44","TRT041126K44","2026-11-04","SHORT",""
"TP.TRD111126K19","TRD111126K19","2026-11-11","SHORT",""
"TP.TRT091226K22","TRT091226K22","2026-12-09","SHORT",""
"TP.TRT161226K49","TRT161226K49","2026-12-16","SHORT",""
"TP.TRD060127K17","TRD060127K17","2027-01-06","SHORT",""
"TP.TRT130127K69","TRT130127K69","2027-01-13","SHORT",""
"TP.TRD200127T28","TRD200127T28","2027-01-20","SHORT",""
"TP.TRD100227K44","TRD100227K44","2027-02-10","SHORT",""
"TP.TRT170227K23","TRT170227K23","2027-02-17","SHORT",""
"TP.TRD100327K19","TRD100327K19","2027-03-10","SHORT",""
"TP.TRT170327K71","TRT170327K71","2027-03-17","SHORT",""
"TP.TRT070427K15","TRT070427K15","2027-04-07","SHORT",""
"TP.TRT140427K40","TRT140427K40","2027-04-14","SHORT",""
"TP.TRT050527T17","TRT050527T17","2027-05-05","SHORT",""
"TP.TRT190527K28","TRT190527K28","2027-05-19","SHORT",""
"TP.TRT090627K52","TRT090627K52","2027-06-09","Y1",""
"TP.TRT160627A14","TRT160627A14","2027-06-16","Y1",""
"TP.TRD160627K28","TRD160627K28","2027-06-16","Y1",""
"TP.TRT070727K12","TRT070727K12","2027-07-07","Y1",""
"TP.TRT140727K47","TRT140727K47","2027-07-14","Y1",""
"TP.TRT210727K48","TRT210727K48","2027-07-21","Y1",""
"TP.TRD110827K21","TRD110827K21","2027-08-11","Y1",""
"TP.TRT180827A10","TRT180827A10","2027-08-18","Y1",""
"TP.TRD080927T26","TRD080927T26","2027-09-08","Y1",""
"TP.TRT150927K85","TRT150927K85","2027-09-15","Y1",""
"TP.TRT150927K44","TRT150927K44","2027-09-15","Y1",""
"TP.TRT061027K34","TRT061027K34","2027-10-06","Y1",""
"TP.TRT131027K35","TRT131027K35","2027-10-13","Y1",""
"TP.TRT201027K51","TRT201027K51","2027-10-20","Y1",""
"TP.TRT171127K22","TRT171127K22","2027-11-17","Y1",""
"TP.TRD171127T13","TRD171127T13","2027-11-17","Y1",""
"TP.TRT081227K14","TRT081227K14","2027-12-08","Y1",""
"TP.TRT151227K15","TRT151227K15","2027-12-15","Y1",""
"TP.TRD050128K17","TRD050128K17","2028-01-05","Y1",""
"TP.TRT120128T11","TRT120128T11","2028-01-12","Y1",""
"TP.TRT190128T22","TRT190128T22","2028-01-19","Y1",""
"TP.TRT160228K23","TRT160228K23","2028-02-16","Y1",""
